annot_exists,annot_path,ct:aptnum,ct:cell,ct:cellclump,ct:chamber,ct:channel,ct:marker,ct:stnum,ct:trap,image_name,image_path,pct:cell_to_cellclump,exclusion,group
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_000Day0.xml,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_000Day0.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_000Day0.jpg,1.0,,training
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_000Day1.xml,1.0,14.0,1.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_000Day1.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_000Day1.jpg,0.9548793284365162,,training
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_000Day2.xml,1.0,31.0,1.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_000Day2.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_000Day2.jpg,0.9688861232109521,,training
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_000Day3.xml,1.0,86.0,2.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_000Day3.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_000Day3.jpg,0.8744075829383886,,training
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_001Day0.xml,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_001Day0.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_001Day0.jpg,1.0,,training
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_001Day1.xml,1.0,9.0,2.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_001Day1.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_001Day1.jpg,0.9448636099825886,,training
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_001Day2.xml,1.0,17.0,1.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_001Day2.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_001Day2.jpg,0.9611621701749185,,validation
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_001Day3.xml,1.0,50.0,1.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_001Day3.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_001Day3.jpg,0.9826478149100257,,training
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_002Day0.xml,1.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_002Day0.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_002Day0.jpg,1.0,,training
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_002Day1.xml,1.0,15.0,1.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_002Day1.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_002Day1.jpg,0.9362416107382551,,training
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_002Day2.xml,1.0,35.0,1.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_002Day2.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_002Day2.jpg,0.9797619047619047,,training
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_002Day3.xml,1.0,98.0,0.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_002Day3.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_002Day3.jpg,,,training
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_002Day4.xml,1.0,201.0,1.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_002Day4.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_002Day4.jpg,0.9400945110868775,,training
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_003Day0.xml,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_003Day0.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_003Day0.jpg,1.0,,training
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_003Day1.xml,1.0,12.0,1.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_003Day1.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_003Day1.jpg,0.9229131175468483,,training
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_003Day2.xml,1.0,28.0,2.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_003Day2.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_003Day2.jpg,1.0,,validation
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_003Day3.xml,1.0,85.0,2.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_003Day3.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_003Day3.jpg,1.0,,validation
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_003Day4.xml,1.0,180.0,2.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_003Day4.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_003Day4.jpg,0.9702493274982936,,training
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_004Day0.xml,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_004Day0.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_004Day0.jpg,1.0,,training
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_004Day1.xml,1.0,10.0,1.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_004Day1.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_004Day1.jpg,0.9692144373673036,,training
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_004Day2.xml,1.0,21.0,1.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_004Day2.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_004Day2.jpg,0.7759910246821241,Cell to Clump Ratio < 0.8,external
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_004Day3.xml,1.0,65.0,4.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_004Day3.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_004Day3.jpg,0.9549675023212628,,training
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_004Day4.xml,1.0,148.0,1.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_004Day4.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_004Day4.jpg,0.9551950235373234,,training
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_005Day0.xml,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_005Day0.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_005Day0.jpg,0.9825581395348837,,training
True,/lab/data/celldom/data/dataset02/annotations/BF_ST_000_APT_005Day1.xml,1.0,9.0,1.0,1.0,2.0,1.0,1.0,1.0,BF_ST_000_APT_005Day1.jpg,/lab/data/celldom/data/dataset02/BF_ST_000_APT_005Day1.jpg,1.0,,training
