annot_exists,annot_path,ct:cell,dataset,image_name,image_path,pct:cell_to_cellclump,exclusion,group
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201805311723-z_0-0267-0338-09.xml,1.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201805311723-z_0-0267-0338-09.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201805311723-z_0-0267-0338-09.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201805311723-zm3-0267-0338-10.xml,1.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201805311723-zm3-0267-0338-10.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201805311723-zm3-0267-0338-10.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201805311723-zm6-0268-0337-12.xml,1.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201805311723-zm6-0268-0337-12.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201805311723-zm6-0268-0337-12.jpeg,,,validation
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201805311723-zm9-0267-0337-10.xml,1.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201805311723-zm9-0267-0337-10.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201805311723-zm9-0267-0337-10.jpeg,,,validation
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201805311723-zp3-0267-0337-10.xml,1.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201805311723-zp3-0267-0337-10.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201805311723-zp3-0267-0337-10.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201805311723-zp6-0267-0338-10.xml,1.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201805311723-zp6-0267-0338-10.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201805311723-zp6-0267-0338-10.jpeg,,,validation
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201805311723-zp9-0267-0337-06.xml,1.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201805311723-zp9-0267-0337-06.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201805311723-zp9-0267-0337-06.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201805312215-z_0-0259-0347-01.xml,2.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201805312215-z_0-0259-0347-01.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201805312215-z_0-0259-0347-01.jpeg,,,training
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201805312215-zm3-0259-0346-01.xml,2.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201805312215-zm3-0259-0346-01.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201805312215-zm3-0259-0346-01.jpeg,,,validation
True,/lab/data/celldom/dataset/dataset03/ApartmentTraining/annotations/BF_ST_006_APT_020-1nMQuiz-02-03-201805312215-zm6-0260-0346-00.xml,2.0,dataset03,BF_ST_006_APT_020-1nMQuiz-02-03-201805312215-zm6-0260-0346-00.jpeg,/lab/data/celldom/dataset/dataset03/ApartmentTraining/BF_ST_006_APT_020-1nMQuiz-02-03-201805312215-zm6-0260-0346-00.jpeg,,,training
