filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
chip-ML01.png,61095,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,0,"{""name"":""point"",""cx"":165,""cy"":217}","{""type"":""marker_center""}"
chip-ML01.png,61095,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,1,"{""name"":""rect"",""x"":174,""y"":90,""width"":16,""height"":25}","{""name"":""not_defined"",""type"":""apt_num_2"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
chip-ML01.png,61095,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,2,"{""name"":""rect"",""x"":18,""y"":189,""width"":16,""height"":25}","{""name"":""not_defined"",""type"":""st_num_1"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
chip-ML01.png,61095,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,3,"{""name"":""rect"",""x"":190,""y"":90,""width"":16,""height"":25}","{""name"":""not_defined"",""type"":""apt_num_3"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
chip-ML01.png,61095,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,4,"{""name"":""rect"",""x"":34,""y"":189,""width"":16,""height"":25}","{""name"":""not_defined"",""type"":""st_num_2"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
chip-ML01.png,61095,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,5,"{""name"":""rect"",""x"":51,""y"":189,""width"":16,""height"":25}","{""name"":""not_defined"",""type"":""st_num_3"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
chip-ML01.png,61095,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,6,"{""name"":""rect"",""x"":157,""y"":90,""width"":16,""height"":25}","{""name"":""not_defined"",""type"":""apt_num_1"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
chip-ML01.png,61095,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,7,"{""name"":""rect"",""x"":10,""y"":22,""width"":205,""height"":269}","{""name"":""not_defined"",""type"":""chip_border"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
chip-ML01.png,61095,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,8,"{""name"":""polygon"",""all_points_x"":[87,92,136,148,155,153,150,143,116,106,81,73,70,72,78],""all_points_y"":[48,46,46,65,83,199,213,231,257,257,230,213,194,80,64]}","{""name"":""not_defined"",""type"":""component_chamber"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
chip-ML01.png,61095,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,9,"{""name"":""polygon"",""all_points_x"":[108,104,83,83,104,121,140,139,119,115,115,114,109,109,109],""all_points_y"":[265,266,254,282,291,291,281,253,266,265,260,258,258,261,264]}","{""name"":""not_defined"",""type"":""component_trap"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
